0:	[[59], [59], [0], [0], [57], [0], [0], [59], [0], [0], [0], [0], [0], [0], [57], [0], [0]]
1:	[[48], [48], [0], [50], [0], [0], [0], [0], [0], [0], [0], [0], [48], [0], [45, 45], [0], [0]]
2:	[[84], [84], [0], [82], [80], [0], [77], [79], [0], [0], [0], [0], [77], [0], [75], [0], [77]]
3:	[[71], [71], [0], [68], [65], [68], [66], [69], [0], [67], [65], [67], [65], [62], [64], [62], [60]]
4:	[[71], [71], [73, 73], [71], [69], [73, 73], [70], [72, 72], [0], [69], [71], [0], [73, 73], [71], [74, 74], [71], [73, 73]]
5:	[[81], [81], [0], [78], [75], [77], [75], [78], [0], [0], [0], [0], [75], [0], [72], [0], [0]]
6:	[[47], [0], [0], [0], [47], [0], [0], [45], [0], [0], [0], [0], [45], [0], [42], [0], [0]]
7:	[[38], [38], [0], [40], [0], [0], [0], [40], [0], [42], [0], [0], [40], [0], [38], [0], [0]]
8:	[[93], [93], [0], [91], [0], [94], [96, 96], [0], [0], [0], [93], [0], [90], [0], [87], [85], [88]]
9:	[[64], [64], [0], [0], [0], [66], [66], [64], [0], [0], [0], [0], [61], [0], [65], [0], [0]]
10:	[[108], [108], [0], [106], [108, 108], [108], [110, 110], [108, 108], [0], [0], [0], [0], [0], [0], [106], [108, 108], [0]]
11:	[[40], [0], [0], [0], [0], [0], [0], [0], [40], [0], [0], [0], [0], [0], [36], [38], [40]]
12:	[[105], [105], [0], [102], [105], [103], [101], [103], [0], [101], [99], [0], [101], [99], [101], [99], [101]]
13:	[[93], [93], [0], [90], [88], [90], [0], [88], [0], [0], [90], [0], [88], [0], [90], [0], [0]]
14:	[[91], [91], [0], [93], [0], [91], [0], [0], [0], [93], [91], [0], [93], [91], [89], [0], [91]]
